INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,DESTOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,DEST_UA_OBS,VIS_METERS
63,20180111,575,ATL,72219013874,2018-01-11 23:52:00+00:00,72219013874,2018-01-11 23:52:00+00:00,FM-15,MET16501/11/18 18:52:02 METAR KATL 112352Z 09009KT 1/4SM R09R/P6000FT OVC003 15/15 A2997 RMK AO2 SFC VIS 7 SLP146 CIG 002V005 TWRINC 60000 T01500150 10156 20133 58008 (RF),402
56,20180111,1245,ATL,72219013874,2018-01-12 01:25:00+00:00,72219013874,2018-01-12 01:25:00+00:00,FM-16,MET11701/11/18 20:25:01 SPECI KATL 120125Z 09004KT 1/4SM R09R/5500VP6000FT BR VV002 14/14 A2994 RMK AO2 SFC VIS 1 T01440144,402
69,20180111,1001,ATL,72219013874,2018-01-12 03:52:00+00:00,72219013874,2018-01-12 03:52:00+00:00,FM-15,MET12001/11/18 22:52:02 METAR KATL 120352Z 11003KT 1/4SM R09R/1200FT FG VV002 14/14 A2992 RMK AO2 TWR VIS 1/4 SLP130 T01440144,402
76,20180111,1044,BDL,72508014740,2018-01-12 04:05:00+00:00,72508014740,2018-01-12 04:05:00+00:00,FM-16,MET11701/11/18 23:05:02 SPECI KBDL 120405Z 28004KT 1/4SM R06/1600V2600FT FG VV002 06/06 A3023 RMK AO2 TWR VIS 1/2 T00560056,402
57,20180111,1887,BDL,72508014740,2018-01-12 04:05:00+00:00,72508014740,2018-01-12 04:05:00+00:00,FM-16,MET11701/11/18 23:05:02 SPECI KBDL 120405Z 28004KT 1/4SM R06/1600V2600FT FG VV002 06/06 A3023 RMK AO2 TWR VIS 1/2 T00560056,402
75,20180111,754,TPA,72211012842,2018-01-12 04:21:00+00:00,72211012842,2018-01-12 04:21:00+00:00,FM-16,MET10601/11/18 23:21:02 SPECI KTPA 120421Z 00000KT 1/4SM R01L/1000V3500FT FG VV002 18/17 A3000 RMK AO2 T01780172,402
59,20180111,1789,TPA,72211012842,2018-01-12 04:21:00+00:00,72211012842,2018-01-12 04:21:00+00:00,FM-16,MET10601/11/18 23:21:02 SPECI KTPA 120421Z 00000KT 1/4SM R01L/1000V3500FT FG VV002 18/17 A3000 RMK AO2 T01780172,402
71,20180111,1983,TPA,72211012842,2018-01-12 04:21:00+00:00,72211012842,2018-01-12 04:21:00+00:00,FM-16,MET10601/11/18 23:21:02 SPECI KTPA 120421Z 00000KT 1/4SM R01L/1000V3500FT FG VV002 18/17 A3000 RMK AO2 T01780172,402
58,20180111,255,GEG,72785024157,2018-01-12 04:53:00+00:00,72785024157,2018-01-12 04:53:00+00:00,FM-15,MET12701/11/18 20:53:02 METAR KGEG 120453Z 03004KT 1/4SM -DZ BR OVC003 00/00 A2988 RMK AO2 SFC VIS 1 1/2 SLP137 P0000 I1001 T00000000,402
60,20180111,64,LIS,08536099999,2018-01-12 08:00:00+00:00,08536099999,2018-01-12 08:00:00+00:00,FM-15,MET071METAR LPPT 120800Z 05003KT 010V100 0150 R21/0250N FG VV001 06/06 Q1026=,150
62,20180111,1281,LAX,72295023174,2018-01-12 13:53:00+00:00,72295023174,2018-01-12 13:53:00+00:00,FM-15,MET14701/12/18 05:53:02 METAR KLAX 121353Z 00000KT 1/8SM R25L/0800V1000FT FG SCT000 BKN002 12/12 A3017 RMK AO2 SLP216 VIS W 1/4 FG SCT000 T01220122 (RPA),201
